"","date","Avg.baby3"
"1",1969-01-01,14
"2",1969-01-02,7
"3",1969-01-03,7
"4",1969-01-04,9
"5",1969-01-05,7
"6",1969-01-06,13
"7",1969-01-07,13
"8",1969-01-08,4
"9",1969-01-09,20
"10",1969-01-10,NA
"11",1969-01-11,6
"12",1969-01-12,7
"13",1969-01-13,9
"14",1969-01-14,4
"15",1969-01-15,18
"16",1969-01-16,8
"17",1969-01-17,NA
"18",1969-01-18,2
"19",1969-01-19,7
"20",1969-01-20,6
"21",1969-01-21,14
"22",1969-01-22,12
"23",1969-01-23,10
"24",1969-01-24,16
"25",1969-01-25,3
"26",1969-01-26,3
"27",1969-01-27,6
"28",1969-01-28,6
"29",1969-01-29,6
"30",1969-01-30,5
"31",1969-01-31,8
"32",1969-02-01,11
"33",1969-02-02,20
"34",1969-02-03,6
"35",1969-02-04,21
"36",1969-02-05,8
"37",1969-02-06,8
"38",1969-02-07,9
"39",1969-02-08,6
"40",1969-02-09,18
"41",1969-02-10,3
"42",1969-02-11,4
"43",1969-02-12,12
"44",1969-02-13,9
"45",1969-02-14,4
"46",1969-02-15,15
"47",1969-02-16,14
"48",1969-02-17,11
"49",1969-02-18,7
"50",1969-02-19,9
"51",1969-02-20,16
"52",1969-02-21,5
"53",1969-02-22,5
"54",1969-02-23,NA
"55",1969-02-24,25
"56",1969-02-25,10
"57",1969-02-26,15
"58",1969-02-27,14
"59",1969-02-28,7
"60",1969-03-01,9
"61",1969-03-02,2
"62",1969-03-03,9
"63",1969-03-04,5
"64",1969-03-05,18
"65",1969-03-06,9
"66",1969-03-07,14
"67",1969-03-08,8
"68",1969-03-09,23
"69",1969-03-10,3
"70",1969-03-11,8
"71",1969-03-12,6
"72",1969-03-13,7
"73",1969-03-14,7
"74",1969-03-15,14
"75",1969-03-16,12
"76",1969-03-17,9
"77",1969-03-18,7
"78",1969-03-19,12
"79",1969-03-20,NA
"80",1969-03-21,2
"81",1969-03-22,5
"82",1969-03-23,6
"83",1969-03-24,24
"84",1969-03-25,NA
"85",1969-03-26,4
"86",1969-03-27,4
"87",1969-03-28,11
"88",1969-03-29,26
"89",1969-03-30,12
"90",1969-03-31,16
"91",1969-04-01,9
"92",1969-04-02,5
"93",1969-04-03,8
"94",1969-04-04,6
"95",1969-04-05,6
"96",1969-04-06,5
"97",1969-04-07,7
"98",1969-04-08,14
"99",1969-04-09,5
"100",1969-04-10,8
"101",1969-04-11,16
"102",1969-04-12,2
"103",1969-04-13,14
"104",1969-04-14,10
"105",1969-04-15,14
"106",1969-04-16,9
"107",1969-04-17,10
"108",1969-04-18,2
"109",1969-04-19,9
"110",1969-04-20,6
"111",1969-04-21,12
"112",1969-04-22,5
"113",1969-04-23,5
"114",1969-04-24,4
"115",1969-04-25,18
"116",1969-04-26,3
"117",1969-04-27,6
"118",1969-04-28,16
"119",1969-04-29,7
"120",1969-04-30,NA
"121",1969-05-01,8
"122",1969-05-02,33
"123",1969-05-03,2
"124",1969-05-04,7
"125",1969-05-05,6
"126",1969-05-06,9
"127",1969-05-07,3
"128",1969-05-08,1
"129",1969-05-09,2
"130",1969-05-10,9
"131",1969-05-11,10
"132",1969-05-12,4
"133",1969-05-13,14
"134",1969-05-14,5
"135",1969-05-15,3
"136",1969-05-16,4
"137",1969-05-17,9
"138",1969-05-18,5
"139",1969-05-19,11
"140",1969-05-20,NA
"141",1969-05-21,5
"142",1969-05-22,10
"143",1969-05-23,4
"144",1969-05-24,1
"145",1969-05-25,16
"146",1969-05-26,11
"147",1969-05-27,9
"148",1969-05-28,9
"149",1969-05-29,6
"150",1969-05-30,4
"151",1969-05-31,13
"152",1969-06-01,5
"153",1969-06-02,16
"154",1969-06-03,29
"155",1969-06-04,28
"156",1969-06-05,5
"157",1969-06-06,12
